Category,Category_n,protected,on_island,plantation,Region,area,perimeter,x,y
"1",Top,NO,NO,NO,Europe,0.000971975228595,0.126520726776460,57.7685876696,65.3973558287
"1",Top,NO,NO,NO,Europe,0.000993939379214,0.128782826306959,51.9348479084,65.9763157530
"1",Top,NO,NO,NO,Europe,0.000804969369938,0.109536905298739,50.2204890640,59.8229954406
"1",Top,YES,NO,NO,Europe,0.000558668499252,0.085434584087953,41.9636648409,43.5881233545
"1",Top,NO,NO,NO,Europe,0.000675336140148,0.096672549565994,56.7415620254,53.1883587160
"1",Top,YES,NO,NO,NAmerica,0.000992575104647,0.128642235191644,-129.8313235274,65.9410689321
"1",Top,NO,NO,NO,NAmerica,0.000817118241685,0.110756272666340,-128.5256285775,60.3153545250
"1",Top,YES,NO,NO,NAmerica,0.000602921445989,0.089653436798935,-123.4555941038,47.8454439671
"1",Top,NO,NO,NO,NAmerica,0.000597840866021,0.089165384741514,-80.8798287323,47.4015147905
"1",Top,NO,NO,NO,NAmerica,0.000655339139257,0.094720355960980,-58.3479154711,51.8672698323
"1",Top,NO,NO,NO,NAmerica,0.000564278408547,0.085965422709851,-74.1928539705,44.1800789538
"1",Top,NO,NO,NO,NAmerica,0.000707685253019,0.099849920794990,-99.0925529081,55.1237838748
"1",Top,NO,NO,NO,NAmerica,0.000752338024540,0.104273092668861,-125.3134006715,57.4632231074
"1",Top,NO,NO,NO,NAmerica,0.000497177784155,0.079682037650387,-83.6674096956,35.5214377234
"1",Top,NO,NO,NO,NAmerica,0.000450366361747,0.075401077084939,-99.8558182224,26.0328662747
"1",Top,NO,NO,NO,NAmerica,0.000423114208502,0.072954826738283,-94.3329323567,16.9844041820
"1",Top,NO,NO,NO,NAmerica,0.000421886108143,0.072845573031608,-90.9704420919,16.4457827009
"1",Top,YES,NO,NO,NAmerica,0.000425351802960,0.073154522855461,-89.5966305475,17.9453236331
"1",Top,NO,NO,NO,NAmerica,0.000422587869366,0.072908038820359,-88.7665141477,16.7590920450
"1",Top,NO,NO,NO,NAmerica,0.000419766422965,0.072657000565688,-84.9803861689,15.4299823935
"1",Top,YES,NO,NO,NAmerica,0.000412574426718,0.072018803745304,-84.0234916754,11.2465592256
"1",Top,NO,NO,NO,NAmerica,0.000410170202542,0.071806052973795,-83.1746542326,9.4078067680
"1",Top,NO,NO,NO,NAmerica,0.000409291875314,0.071728362339405,-80.9333540833,8.6388387265
"1",Top,NO,NO,NO,NAmerica,0.000409024854775,0.071704820707820,-77.4780862354,8.3877181268
"1",Top,NO,NO,NO,NAmerica,0.000417888253196,0.072490065886088,-84.8254592114,14.4560772014
"1",Top,NO,NO,NO,NAsia,0.000915000440727,0.120683067001627,90.2412143344,63.7533642541
"1",Top,NO,NO,NO,NAsia,0.000915476713544,0.120731991810180,90.0970190302,63.7678600917
"1",Top,NO,NO,NO,NAsia,0.000915893490856,0.120774815153421,89.7626601890,63.7802419088
"1",Top,NO,NO,NO,NAsia,0.000912547893222,0.120432048295100,89.1896284360,63.6770833656
"1",Top,NO,NO,NO,NAsia,0.000768865882492,0.105921172275556,110.2599295398,58.2448806202
